# 未命中但有相似句的參考草稿：原文 <TAB> 相似句譯文 <TAB> 相似句原文 <TAB> 相似度
chest	 金盒子 	Chest	0.80
carrot	 胡蘿蔔 	Carrot	0.83
magic ring	 魔戒 	Magic Ring	0.80
fourleaf clover	 幸運草 	Four-leaf Clover	0.84
ceramic bowl	 陶碗 	Ceramic Bowl	0.83
pebbles	 鵝卵石 	Pebbles	0.86
leather slingshot	 皮製投石器 	Leather Slingshot	0.88
pouch	 皮袋 	Pouch	0.80
cheese	 乳酪 	Cheese	0.83
magic mirror	 魔鏡 	Magic Mirror	0.83
fiddle	 小提琴 	Fiddle	0.83
walnut	胡桃	Walnut	0.83
mushroom	 蘑菇 	Mushroom	0.88
beans	 豆子 	Beans	0.80
You're too busy right now to rub the ring.	你現在正忙著別的事，沒空爬樹。	You're too busy right now to climb a tree.	0.81
You do not have a bowl.	你身上沒有胡蘿蔔。	You do not have a carrot.	0.83
You need to be in water to swim.	你得先進到水裡才能游泳。	You need to be in the water to swim.	0.94
You do not have any stew.	你身上沒有胡蘿蔔。	You do not have a carrot.	0.80
There is no reason to throw the dagger.	這裡沒有人可以讓你丟短刀。	There is no one here to throw the dagger at.	0.84
You've already killed the goat.	你已經把碗裝滿了。	You have already filled the bowl.	0.81
You have already opened the pouch.	你已經打開過胡桃了。	You have already opened the walnut.	0.87
The spell to make you invisible has expired and you are once again visible to dangerous creatures, but, the ring has now disappeared.	隱身魔法已經失效，你再次現形，可能被危險的生物看見；魔戒也已經消失無蹤。	The spell to make you invisible has expired and you are once again visible to dangerous creatures but, the ring has now disappeared.	1.00
You do not have it.	你身上沒有 %s。	You do not have the %s.	0.86
About KQ	 關於 KQI	About KQI	0.94
Restore Game   <F7>	 讀取進度	Restore Game	0.83
Restart Game   <F9>	 重新開始	Restart Game	0.83
Fast  	 較快	Faster	0.80
Slow  	 較慢	Slower	0.80
Jump  0	 跳躍	Jump	0.80
Duck  -	 蹲下	Duck	0.80
You can't see them from here.	從這裡看不到什麼。	You can't see much from here.	0.90
You are not close enough to any water.	你離水不夠近。	You are not close enough to the water.	0.92
Your knock echos within the castle.  Unfortunately, no one answers.	你的敲門聲在城堡裡迴盪，可惜沒有人應門。	Your knock echoes within the castle. Unfortunately, no one answers.	0.99
You are too far from the hole to see in it.	你離那個洞太遠，看不清裡面。	You are too far away from the hole to see into it.	0.92
Inside the old, rotted stump you notice a small, canvas pouch.	你在腐朽的樹樁裡發現一個小皮袋。	Inside the rotting stump you notice a small leather pouch.	0.82
From here you can see the stump is very old and nearly petrified.	從這裡你看得出這個樹樁又老又朽。	From here you can see the stump is very old and rotting away.	0.83
You can vaguely see the stump in the distance.	隔著這段距離，你只能隱約看見那個樹樁。	You can only vaguely see the stump from this distance.	0.86
You are not close enough to the lake.	你離水不夠近。	You are not close enough to the water.	0.93
The bucket is soon filled with clear water.	這個老舊的木桶現在裝滿了清水。	This old wooden bucket is now filled with clear water.	0.82
You do not have the carrot.	你身上沒有胡蘿蔔。	You do not have a carrot.	0.92
The goat is following you.	山羊已經在跟著你了。	The goat is already following you.	0.87
There is no gate right here.	這裡沒有山羊。	There is no goat here.	0.84
There should be a gate around here somewhere.	這附近一定有一道閘門。	There must be a gate around here somewhere.	0.91
You cannot reach the gate from here.	你在這裡搆不到那扇門。	You cannot reach the door from here.	0.89
The gate is closed.	閘門已經是關著的了。	The gate is already closed.	0.83
The gate is open.	閘門已經是開著的了。	The gate is already open.	0.81
The old goat is already following you.	山羊已經在跟著你了。	The goat is already following you.	0.94
You have nothing the old goat wants to eat.	你身上沒有大老鼠想要的東西。	You have nothing the rat wants.	0.81
Goats love carrots!  The goat quickly devours yours.	山羊最愛胡蘿蔔了！老山羊很快就把你的胡蘿蔔吃光了。	Goats love carrots! The old goat quickly devours yours.	0.96
The goat shows some interest in the carrot.	這隻老山羊對胡蘿蔔顯得有些興趣。	The old goat shows some interest in the carrot.	0.96
There is no need to close the gate now.	現在沒有必要那麼做。	There is no need for that now.	0.81
You are not close enough to even try.	你離水不夠近。	You are not close enough to the water.	0.85
The old bucket holds a full load of water.	這個舊水桶大約能裝一加侖的水。	The old bucket holds about a gallon of water.	0.83
The old bucket is already at the bottom of the well.	這個舊水桶已經在井口了。	The old bucket is already at the top of the well.	0.95
The bucket is already at the top of the well.	這個舊水桶已經在井口了。	The old bucket is already at the top of the well.	0.96
The rope descends into the darkness.	繩索消失在黑暗之中。	The rope disappears into the darkness.	0.84
You can't raise the rope from here!	你沒辦法從這裡切斷繩索。	You can't cut the rope from here.	0.85
You are not close enough to do that.	你離水不夠近。	You are not close enough to the water.	0.89
The goat refuses to do down the well.	山羊不肯下到井裡去。	The goat refuses to go down the well.	0.97
The goat refuses to enter the dark well.	山羊不肯下到井裡去。	The goat refuses to go down the well.	0.81
The goat refuses to go down into the dark well.	山羊不肯下到井裡去。	The goat refuses to go down the well.	0.88
The goat is afraid of heights and refuses to jump down the well.	那隻老山羊有懼高症，不肯爬樹。	The old goat is afraid of heights and refuses to climb the tree.	0.83
Sorry, all the water is at the bottom of the well.	所有的水都在井底。	All the water is at the bottom of the well.	0.90
Are you crazy?	什麼！你瘋了嗎？	What! Are you crazy?	0.82
There's no wolf here.	這裡沒有小精靈。	There is no elf here.	0.86
You can't climb a tree here!	你在這裡沒辦法爬樹！	You can't climb a tree from here!	0.92
You do not have a carrot to eat.	你身上沒有胡蘿蔔。	You do not have a carrot.	0.88
They are buried in the ground.  You must get closer to see them.	胡蘿蔔埋在地裡，你得靠近一點才能看清楚。	The carrots are buried in the ground. You must get closer to see them.	0.93
You cannot do that from here.	你在這裡當然沒辦法這麼做。	You certainly cannot do that from here.	0.85
This is a clear mountain lake with some steep cliffs surrounding it.	這是一座清澈的山中湖泊，周圍環繞著低矮多岩的湖岸。	This is a clear mountain lake with some low and rocky banks surrounding it.	0.83
Wandering on the banks of the lake, you see a cute little elf.	你沿著這座美麗湖泊的岸邊漫步，看見一個可愛的小精靈。	Wandering along the banks of a beautiful lake, you see a cute little elf.	0.89
There's no elf here.	這裡沒有小精靈。	There is no elf here.	0.93
The door is already unlocked.	門已經關上了。	The door is already closed.	0.89
Using the gold key, you unlock the huge door.	你用金鑰匙打開了這扇巨大的門……	Using the gold key, you unlock the huge door...	0.98
The door is already locked.	門已經關上了。	The door is already closed.	0.93
The door is already open.	門已經關上了。	The door is already closed.	0.88
There's no witch here.	這裡沒有皮袋。	There's no pouch here.	0.86
There is no bird.	這裡沒有鳥。	There is no bird here.	0.87
It is a well known fact that goats hate trolls intensely. You should move aside and let the goat take care of this nasty troll.	眾所皆知，山羊對矮精靈恨之入骨。你讓到一旁，讓山羊去對付這隻可惡的矮精靈。	It is a well known fact that goats hate trolls intensely. You move aside and let the goat take care of this wretched, nasty troll.	0.93
You push the troll as hard as you can but he doesn't budge an inch.	你使出全力推矮精靈，可惜矮精靈紋風不動。	You push the troll as hard as you can. Unfortunately, the troll doesn't budge an inch.	0.86
There is no troll around here.	這裡沒有矮精靈。	There is no troll here.	0.87
You are not close enough to the river.	你離水不夠近。	You are not close enough to the water.	0.92
The windows are hard to break.	窗戶太硬了，打不破。	The windows are too hard to break.	0.94
