When you figure out the puzzle!	When you figure out the puzzle!
You cannot do that, Sir Graham.	You cannot do that, Sir Graham.
You smell nothing unusual.	You smell nothing unusual.
Keep it to yourself.	Keep it to yourself.
You can't.	You can't.
That's strange... you don't get an answer.	That's strange... you don't get an answer.
Talking to yourself is a sure sign that the hot Daventry sun is taking its toll on you.	Talking to yourself is a sure sign that the hot Daventry sun is taking its toll on you.
Sir Graham, please try to find another word for "%s."	Sir Graham, please try to find another word for "%s."
"%s" in "%s"	"%s" in "%s"
Please try to rephrase that thought, Sir Graham.	Please try to rephrase that thought, Sir Graham.
Please try something else, Sir Graham.	Please try something else, Sir Graham.
 Score: %d of %d%13s%s%1s	 Score: %d of %d%13s%s%1s
You see a useless dead goat lying lifeless on the ground.	You see a useless dead goat lying lifeless on the ground.
The goat is grazing nearby.	The goat is grazing nearby.
The old goat, trotting briskly, seems happy to be with you.	The old goat, trotting briskly, seems happy to be with you.
The goat is wandering this way and that, exploring his little pen.	The goat is wandering this way and that, exploring his little pen.
The goat has wandered off to the other side of his pen.	The goat has wandered off to the other side of his pen.
This is the ugliest, meanest, nastiest troll you have ever seen.  And he is not about to let anybody cross his bridge.	This is the ugliest, meanest, nastiest troll you have ever seen.  And he is not about to let anybody cross his bridge.
There is no troll here.	There is no troll here.
You have %d smooth, rounded pebble.	You have %d smooth, rounded pebble.
You have %d smooth, rounded pebbles.	You have %d smooth, rounded pebbles.
rm%03d: %s: %s 	rm%03d: %s: %s 
It's not quite within reach, Sir Graham.	It's not quite within reach, Sir Graham.
You don't have anything that fits that description in your inventory.	You don't have anything that fits that description in your inventory.
You're too busy.	You're too busy.
You're too busy right now.	You're too busy right now.
You cannot reach the door from here.	You cannot reach the door from here.
You recall a rule prohibiting goats (except seeing-eye goats) from entering the castle.	You recall a rule prohibiting goats (except seeing-eye goats) from entering the castle.
That's odd.  Why aren't the guards at their posts?	That's odd.  Why aren't the guards at their posts?
You reconsider the wisdom of returning to King Edward without having recovered Daventry's three lost treasures.	You reconsider the wisdom of returning to King Edward without having recovered Daventry's three lost treasures.
The portcullis is already closed.	The portcullis is already closed.
Your knock echoes within the castle.  Unfortunately, no one answers.	Your knock echoes within the castle.  Unfortunately, no one answers.
If you inherit the throne, you may do whatever you please with the urns.  Until then, leave them alone.	If you inherit the throne, you may do whatever you please with the urns.  Until then, leave them alone.
The pots are full of dirt and roots.  There's nothing remotely helpful in or around the urns.	The pots are full of dirt and roots.  There's nothing remotely helpful in or around the urns.
There are no guards in sight.	There are no guards in sight.
This deep swampy moat is patrolled by vicious serpents.	This deep swampy moat is patrolled by vicious serpents.
The vines creeping up the walls of the castle are rooted in these two large urns.	The vines creeping up the walls of the castle are rooted in these two large urns.
The castle walls are carpeted with a thick tangle of vines.	The castle walls are carpeted with a thick tangle of vines.
You can't see any flowers from where you stand.	You can't see any flowers from where you stand.
There are small flowers growing along the moat.	There are small flowers growing along the moat.
The guards are surprised at your sudden appearance.	The guards are surprised at your sudden appearance.
Before entering the castle, you remove your ring so as not to startle the ailing King.	Before entering the castle, you remove your ring so as not to startle the ailing King.
These stone-faced guards must have been trained not to converse with anybody.  They ignore you, Sir Graham.	These stone-faced guards must have been trained not to converse with anybody.  They ignore you, Sir Graham.
The guards are well provided-for by King Edward.  They are not interested in any of your belongings.	The guards are well provided-for by King Edward.  They are not interested in any of your belongings.
These are the guards of your king, King Edward.  It would be very unwise to make enemies of them, Sir Graham.	These are the guards of your king, King Edward.  It would be very unwise to make enemies of them, Sir Graham.
These stone-faced guards must have been trained not to show any type of affection.  They ignore you, Sir Graham.	These stone-faced guards must have been trained not to show any type of affection.  They ignore you, Sir Graham.
These guards protect the King's castle.	These guards protect the King's castle.
Just walk up to the portcullis and open it.	Just walk up to the portcullis and open it.
This portcullis is the only entrance to the King's castle.	This portcullis is the only entrance to the King's castle.
These beautiful urns adorn the front of the castle.	These beautiful urns adorn the front of the castle.
You never know what sort of fierce creatures lie just beneath the surface of the moat.	You never know what sort of fierce creatures lie just beneath the surface of the moat.
There is a hole where the rock once was.	There is a hole where the rock once was.
You're in a shady forest clearing.  A large rock rests in the middle of the clearing next to a shallow hole where the rock used to sit.	You're in a shady forest clearing.  A large rock rests in the middle of the clearing next to a shallow hole where the rock used to sit.
You're in a shady forest clearing.  A large rock rests in the middle of the clearing.	You're in a shady forest clearing.  A large rock rests in the middle of the clearing.
There is a shallow hole where the rock once rested in.	There is a shallow hole where the rock once rested in.
There is an intricately carved dagger in the hole.	There is an intricately carved dagger in the hole.
You see a large rock resting in the middle of the clearing.	You see a large rock resting in the middle of the clearing.
There's not a lot to see except for the grass beneath your feet and a couple of large rocks.	There's not a lot to see except for the grass beneath your feet and a couple of large rocks.
