You were warned to be careful around this fierce creature!  Maybe next time you will be able to elude the beast.	You were warned to be careful around this fierce creature!  Maybe next time you will be able to elude the beast.
Lucky for you that ogres are afraid of goats. This one decides to leave you alone.	Lucky for you that ogres are afraid of goats. This one decides to leave you alone.
You need to be a little closer to smell the flowers.	You need to be a little closer to smell the flowers.
This is sad.  You are not the first to fail your quest in the Raging River... I hope you may be the last.	This is sad.  You are not the first to fail your quest in the Raging River... I hope you may be the last.
This is the wild Raging River filled with boulders and rapids.	This is the wild Raging River filled with boulders and rapids.
It would be dangerous to try and jump across the river on the boulders.	It would be dangerous to try and jump across the river on the boulders.
This mushroom is large and aromatic.	This mushroom is large and aromatic.
You reach down and pick a fat mushroom.	You reach down and pick a fat mushroom.
You see the familiar side of the Raging River.	You see the familiar side of the Raging River.
The colorful mushroom is in the distance.	The colorful mushroom is in the distance.
You need to get closer to do that.	You need to get closer to do that.
The river is so swift it is a battle to fill the bucket.	The river is so swift it is a battle to fill the bucket.
The water from this swift river is cold and sweet.	The water from this swift river is cold and sweet.
You see King Edward's castle on the horizon.	You see King Edward's castle on the horizon.
This lovely meadow is split by the Raging River.	This lovely meadow is split by the Raging River.
There is no mushroom here.	There is no mushroom here.
OUCH	OUCH
I can see you need a little practice climbing rope!	I can see you need a little practice climbing rope!
You should be more careful before trying that next time!	You should be more careful before trying that next time!
Your arms are like lead... from swimming.  You find it impossible... to swim any longer.  You sink to the bottom... of the well....	Your arms are like lead... from swimming.  You find it impossible... to swim any longer.  You sink to the bottom... of the well....
The rope is out of reach.	The rope is out of reach.
You cannot climb the sides of the well.  They are too steep and slippery.	You cannot climb the sides of the well.  They are too steep and slippery.
When you look upwards, you see the top of the well far, far above.	When you look upwards, you see the top of the well far, far above.
Although you can only see the bottom of the bucket, it looks like a very nice bucket.	Although you can only see the bottom of the bucket, it looks like a very nice bucket.
How are you going to get the bucket?	How are you going to get the bucket?
This is murky well water.	This is murky well water.
The water does not taste as good as you expected.	The water does not taste as good as you expected.
In the midst of your activities, you fill the bucket with well water.	In the midst of your activities, you fill the bucket with well water.
The knot is tied very tightly.	The knot is tied very tightly.
The rope is secured to the well with a very tight knot.	The rope is secured to the well with a very tight knot.
The thick rope resists your efforts.	The thick rope resists your efforts.
You have nothing to cut the rope with.	You have nothing to cut the rope with.
Just before slitting the rope, you realize that it is not a very wise move at this time.	Just before slitting the rope, you realize that it is not a very wise move at this time.
There is no reason to cut the rope.	There is no reason to cut the rope.
You reach up out of the well water and cut the thick rope that holds the bucket.	You reach up out of the well water and cut the thick rope that holds the bucket.
You have other things to think about right now.	You have other things to think about right now.
A person in your position is in no position to raise or lower anything.	A person in your position is in no position to raise or lower anything.
I don't think that getting in the bucket right now will do you very much good.	I don't think that getting in the bucket right now will do you very much good.
You need to be closer to the water to drink.	You need to be closer to the water to drink.
There is no way for you to get water now.	There is no way for you to get water now.
Now is not the time to try diving.	Now is not the time to try diving.
It is a very long, sturdy rope.	It is a very long, sturdy rope.
It is empty except for a huge boulder opposite the opening.	It is empty except for a huge boulder opposite the opening.
It is a rather large, vacant cave.	It is a rather large, vacant cave.
There is a large granite boulder and a magic mirror!! in the cave.	There is a large granite boulder and a magic mirror!! in the cave.
A green, scaly dragon breathing hot fire and smoke is protecting the mirror.	A green, scaly dragon breathing hot fire and smoke is protecting the mirror.
In this large cavern, there is a slimy dead dragon, an opening on one side, and a large boulder in the other.	In this large cavern, there is a slimy dead dragon, an opening on one side, and a large boulder in the other.
There is no dragon here.	There is no dragon here.
This ferocious, fire-breathing dragon with sharp, green scales and a long tail is protecting the magic mirror. Watch out for the flames!	This ferocious, fire-breathing dragon with sharp, green scales and a long tail is protecting the magic mirror. Watch out for the flames!
You see the once powerful dragon lying lifeless before you.	You see the once powerful dragon lying lifeless before you.
A strange watery light issues from the hole.	A strange watery light issues from the hole.
This dragon had only one life and you have taken it.	This dragon had only one life and you have taken it.
With that dragon here?  No way!	With that dragon here?  No way!
This dragon does not respond to reason.	This dragon does not respond to reason.
You throw your bucket on the cavern floor.	You throw your bucket on the cavern floor.
The dragon is protecting the magic mirror.	The dragon is protecting the magic mirror.
The magic mirror is framed with ornate mahogany wood, polished to a high sheen.	The magic mirror is framed with ornate mahogany wood, polished to a high sheen.
There is no mirror here.	There is no mirror here.
Carefully, you pick up the magic mirror.	Carefully, you pick up the magic mirror.
I do not think that you can get close enough to the magic mirror with the dragon here.	I do not think that you can get close enough to the magic mirror with the dragon here.
You could get a much better view if you were closer.	You could get a much better view if you were closer.
You are not close enough to reach it.	You are not close enough to reach it.
You don't have any water.	You don't have any water.
You have nothing with which to douse a dragon.	You have nothing with which to douse a dragon.
You can't do that from here.!	You can't do that from here.!
The dagger sings through the air, but falls short of the dragon.  You should have been closer.	The dagger sings through the air, but falls short of the dragon.  You should have been closer.
You throw your water, but to no avail.  It lands on the floor and is quickly absorbed.	You throw your water, but to no avail.  It lands on the floor and is quickly absorbed.
The water hits the dragon squarely in the mouth, extinguishing its roaring flames.  No fire!  How mortified and embarrassed the dragon is!  Moving a huge boulder in leaving, the dragon creeps off to sulk.	The water hits the dragon squarely in the mouth, extinguishing its roaring flames.  No fire!  How mortified and embarrassed the dragon is!  Moving a huge boulder in leaving, the dragon creeps off to sulk.
Nervously, you throw the dagger at the dragon and strike it in the heart.  Death for the dragon is instant.	Nervously, you throw the dagger at the dragon and strike it in the heart.  Death for the dragon is instant.
How do you wish to accomplish that?	How do you wish to accomplish that?
You are too busy looking around to even think about that.	You are too busy looking around to even think about that.
You should know about these fire-breathing dragons!  Maybe next time you will be a little more careful!	You should know about these fire-breathing dragons!  Maybe next time you will be a little more careful!
Your shield melted from the intensity of the dragon's flames!  You should know about these fire-breathing dragons!  Maybe next time you will be a little more careful!	Your shield melted from the intensity of the dragon's flames!  You should know about these fire-breathing dragons!  Maybe next time you will be a little more careful!
I think you found the dragon!	I think you found the dragon!
Not even you can hold your breath forever.  The well bottom has become your eternal resting place.	Not even you can hold your breath forever.  The well bottom has become your eternal resting place.
It looks like this bottle has been here for a very long time.	It looks like this bottle has been here for a very long time.
This is just an old, junky bottle.  You don't want it.	This is just an old, junky bottle.  You don't want it.
It is very difficult to tell where the hole might lead.	It is very difficult to tell where the hole might lead.
The rusty old can has been here awhile.	The rusty old can has been here awhile.
You have no use for this old can.	You have no use for this old can.
Thrashing around in the water has caused you to lose the magic ring and become visible again.	Thrashing around in the water has caused you to lose the magic ring and become visible again.
Even as you are reaching for your medevial flamethrower, the King's agents descend upon you.  You are taken away to be torched at dawn.	Even as you are reaching for your medevial flamethrower, the King's agents descend upon you.  You are taken away to be torched at dawn.
King Edward the Benevolent is a very wise, but elderly monarch.  His frail body is almost lost in the large throne.	King Edward the Benevolent is a very wise, but elderly monarch.  His frail body is almost lost in the large throne.
The King's throne is made of solid gold, accented with rubies.  It will be yours if you complete your quest.	The King's throne is made of solid gold, accented with rubies.  It will be yours if you complete your quest.
When you bow to King Edward, his pleased smile warms you.	When you bow to King Edward, his pleased smile warms you.
The King, though very ill, seems happy to see you.	The King, though very ill, seems happy to see you.
It is proper to stand directly in front of, and a few paces back from King Edward when addressing His Eminence.	It is proper to stand directly in front of, and a few paces back from King Edward when addressing His Eminence.
You bow, but you are the only one who knows it.	You bow, but you are the only one who knows it.
Go, Sir Graham!  Go and bring me back these treasures!	Go, Sir Graham!  Go and bring me back these treasures!
Welcome back from your quest, Sir Graham.	Welcome back from your quest, Sir Graham.
Why, Sir Graham, have you failed me and returned without accomplishing your task?  Go, and complete your quest!!	Why, Sir Graham, have you failed me and returned without accomplishing your task?  Go, and complete your quest!!
Before exposing your flamethrower, you decide the King is just beyond the range of your obsolete flamethrower.	Before exposing your flamethrower, you decide the King is just beyond the range of your obsolete flamethrower.
You are not close enough to see him clearly.	You are not close enough to see him clearly.
King Edward the Benevolent is sitting on the throne, waiting for you.	King Edward the Benevolent is sitting on the throne, waiting for you.
It would show more respect if you were closer and in front of King Edward.	It would show more respect if you were closer and in front of King Edward.
He bids you to approach so he can hear you.	He bids you to approach so he can hear you.
The King is walking towards you to commend you.	The King is walking towards you to commend you.
Your heart also aches with pain as you watch the King.	Your heart also aches with pain as you watch the King.
The King is lying motionless on the ground.	The King is lying motionless on the ground.
You are the only King here!	You are the only King here!
That's not a bad idea, but the custom in Daventry is to bow.	That's not a bad idea, but the custom in Daventry is to bow.
To kill King Edward would mean immediate execution!	To kill King Edward would mean immediate execution!
The throne is already occupied.	The throne is already occupied.
You will have to do that yourself.	You will have to do that yourself.
This huge, tapestried room echoes every sound.	This huge, tapestried room echoes every sound.
You move aside as the King steps from his throne.	You move aside as the King steps from his throne.
As you approach the throne, the King himself rises to commend  you for a job well done.	As you approach the throne, the King himself rises to commend  you for a job well done.
"Oh!... Oh!!"  the King proclaims in pain!	"Oh!... Oh!!"  the King proclaims in pain!
From the seemingly lifeless King you hear these words:   "Well done, Sir Graham.  You have been a good and faithful servant.  Your reward is well deserved.  My kingdom is now yours."	From the seemingly lifeless King you hear these words:   "Well done, Sir Graham.  You have been a good and faithful servant.  Your reward is well deserved.  My kingdom is now yours."
With those words, King Edward the Benevolent dies.	With those words, King Edward the Benevolent dies.
The experiences of your quest will be invaluable to you as you begin your reign as King of Daventry!!	The experiences of your quest will be invaluable to you as you begin your reign as King of Daventry!!
As you are leaving, your agents remind you that you must remain here now, where it is safe.	As you are leaving, your agents remind you that you must remain here now, where it is safe.
When you speak to King Edward,	When you speak to King Edward,
he sighs and says,	he sighs and says,
"Sir Graham, I am an old man. I fear	"Sir Graham, I am an old man. I fear
 my end is near.  I have chosen you to	 my end is near.  I have chosen you to
 prove yourself worthy of the throne.	 prove yourself worthy of the throne.
As you know, our kingdom is weak and	As you know, our kingdom is weak and
 poor.  I have knowledge of the	 poor.  I have knowledge of the
 existence of three things that would	 existence of three things that would
 make our kingdom wealthy and strong.	 make our kingdom wealthy and strong.
Somewhere within our kingdom, there is	Somewhere within our kingdom, there is
 a magic mirror that tells the future.	 a magic mirror that tells the future.
 There is a magic shield that will	 There is a magic shield that will
 protect the bearer from mortal harm.	 protect the bearer from mortal harm.
 Finally, there is a magic chest that	 Finally, there is a magic chest that
 is always filled with gold coins.	 is always filled with gold coins.
Go, Sir Graham!  Go and bring me	Go, Sir Graham!  Go and bring me
 back these treasures.	 back these treasures.
If you succeed, you will inherit the	If you succeed, you will inherit the
